Date ,Close 
11-Mar-11,24.13
14-Mar-11,23.3
15-Mar-11,26.63
16-Mar-11,24.89
17-Mar-11,25.26
18-Mar-11,25.89
21-Mar-11,25.21
22-Mar-11,22.26
23-Mar-11,20.97
24-Mar-11,19.84
25-Mar-11,20.47
28-Mar-11,21.02
29-Mar-11,21.22
30-Mar-11,22.04
31-Mar-11,22.18
01-Apr-11,20.11
04-Apr-11,20.06
05-Apr-11,19.9
06-Apr-11,20.36
07-Apr-11,20.32
08-Apr-11,20.54
11-Apr-11,21.24
13-Apr-11,20.41
15-Apr-11,21.59
18-Apr-11,22.45
19-Apr-11,22.07
20-Apr-11,20.99
21-Apr-11,20.51
25-Apr-11,20.91
26-Apr-11,21.71
27-Apr-11,21.35
28-Apr-11,20.92
29-Apr-11,19.58
02-May-11,20.88
03-May-11,21.58
04-May-11,21.18
05-May-11,21.6
06-May-11,20.97
09-May-11,21.5
10-May-11,21.74
11-May-11,21.24
12-May-11,21.23
13-May-11,20.63
16-May-11,21.46
17-May-11,21.03
18-May-11,20.71
19-May-11,20.41
20-May-11,19.45
23-May-11,21.04
24-May-11,19.93
25-May-11,20.66
26-May-11,19.18
27-May-11,17.25
30-May-11,17.87
31-May-11,16.82
01-Jun-11,16.73
02-Jun-11,17.98
03-Jun-11,17.61
06-Jun-11,18.21
07-Jun-11,18.03
08-Jun-11,18.58
09-Jun-11,18.58
10-Jun-11,18.54
13-Jun-11,18.91
14-Jun-11,18.51
15-Jun-11,19.14
16-Jun-11,19.66
17-Jun-11,20.27
20-Jun-11,22.18
21-Jun-11,21.31
22-Jun-11,20.89
23-Jun-11,19.5
24-Jun-11,19.32
27-Jun-11,19.99
28-Jun-11,19.49
29-Jun-11,19.46
30-Jun-11,18.41
01-Jul-11,18.21
04-Jul-11,18.17
05-Jul-11,18.25
06-Jul-11,18.34
07-Jul-11,18.62
08-Jul-11,18.67
11-Jul-11,19.69
12-Jul-11,20.83
13-Jul-11,19.52
14-Jul-11,19.97
15-Jul-11,19.95
18-Jul-11,20.2
19-Jul-11,19.25
